회사명,종목코드,상장일
한세예스24홀딩스,016450,2000-01-06
대성홀딩스,016710,1999-12-22
대원제약,003220,1999-12-15
한국가스공사,036460,1999-12-15
미래아이앤지,007120,1999-11-26
화천기공,000850,1999-11-18
팜스코,036580,1999-10-25
케이티앤지,033780,1999-10-08
한국조선해양,009540,1999-08-24
디씨엠,024090,1999-08-18
AK홀딩스,006840,1999-08-11
대한유화,006650,1999-08-11
백산,035150,1999-08-11
지투알,035000,1999-08-11
체시스,033250,1999-08-11
자화전자,033240,1999-01-06
케이티,030200,1998-12-23
하이트론씨스템즈,019490,1998-11-04
제일기획,030000,1998-03-03
스틱인베스트먼트,026890,1997-11-25
케이씨,029460,1997-11-25
대원화성,024890,1997-10-28
E1,017940,1997-08-27
SK가스,018670,1997-08-27
다우기술,023590,1997-08-27
영보화학,014440,1997-08-27
SKC,011790,1997-07-18
웰바이오텍,010600,1997-07-18
한국주강,025890,1997-07-18
덕양산업,024900,1997-06-23
에쓰씨엔지니어링,023960,1997-06-23
인지컨트롤스,023800,1997-06-23
경동인베스트,012320,1997-03-07
에스제이엠홀딩스,025530,1997-02-12
콤텍시스템,031820,1997-02-12
SK하이닉스,000660,1996-12-26
MH에탄올,023150,1996-12-24
국동,005320,1996-12-24
동남합성,023450,1996-12-24
삼성엔지니어링,028050,1996-12-24
신도리코,029530,1996-12-24
예스코홀딩스,015360,1996-12-24
퍼시스,016800,1996-12-24
WISCOM,024070,1996-11-22
동원수산,030720,1996-11-22
미래산업,025560,1996-11-22
다올투자증권,030210,1996-11-19
HDC,012630,1996-10-16
광전자,017900,1996-10-16
한국단자공업,025540,1996-10-16
디아이,003160,1996-07-31
신성이엔지,011930,1996-07-31
티에이치엔,019180,1996-07-31
한온시스템,018880,1996-07-31
세원정공,021820,1996-07-03
세하,027970,1996-07-03
영풍제지,006740,1996-07-03
유니온,000910,1996-07-03
키다리스튜디오,020120,1996-07-03
한섬,020000,1996-07-03
현대엘리베이터,017800,1996-07-03
환인제약,016580,1996-07-03
계룡건설산업,013580,1996-01-30
서원,021050,1996-01-30
에스원,012750,1996-01-30
태경산업,015890,1996-01-30
신대양제지,016590,1995-12-21
와이투솔루션,011690,1995-12-21
남해화학,025860,1995-11-10
동원금속,018500,1995-11-10
성안,011300,1995-11-10
HMM,011200,1995-10-05
경인양행,012610,1995-10-05
풀무원,017810,1995-10-05
서울도시가스,017390,1995-08-18
이구산업,025820,1995-08-18
에넥스,011090,1995-07-08
에이프로젠,007460,1995-07-08
제이준코스메틱,025620,1995-07-08
한국카본,017960,1995-07-08
KPX케미칼,025000,1994-12-27
에스엠벡셀,010580,1994-12-27
태평양물산,007980,1994-12-27
KC그린홀딩스,009440,1994-11-05
문배철강,008420,1994-11-05
웅진,016880,1994-11-05
HL D&I,014790,1994-08-12
오뚜기,007310,1994-08-12
일정실업,008500,1994-08-12
엘에스일렉트릭,010120,1994-07-11
대양금속,009190,1994-04-29
이화산업,000760,1994-04-29
동원시스템즈,014820,1994-03-29
삼성중공업,010140,1994-01-28
모토닉,009680,1994-01-14
화신,010690,1994-01-14
삼화페인트공업,000390,1993-09-10
경동나비엔,009450,1993-08-31
DB,012030,1993-01-06
SGC에너지,005090,1993-01-06
대림비앤코,005750,1992-12-23
대한해운,005880,1992-04-23
메리츠증권,008560,1992-01-15
휴니드테크놀러지스,005870,1991-09-03
수산중공업,017550,1991-08-30
롯데케미칼,011170,1991-05-30
세아베스틸지주,001430,1991-03-12
호텔신라,008770,1991-03-12
태경비케이,014580,1991-03-07
화승코퍼레이션,013520,1991-02-22
신흥,004080,1991-02-08
화승인더스트리,006060,1991-02-04
극동유화,014530,1991-01-31
고려산업,002140,1991-01-14
대현,016090,1990-09-20
케이비아이동국실업,001620,1990-09-15
광명전기,017040,1990-09-14
부산산업,011390,1990-09-14
STX,011810,1990-09-12
고려아연,010130,1990-07-28
센트럴인사이트,012600,1990-07-10
팜젠사이언스,004720,1990-06-15
무림페이퍼,009200,1990-06-09
현대차증권,001500,1990-06-09
금비,008870,1990-06-08
대동전자,008110,1990-06-05
원림,005820,1990-04-20
서흥,008490,1990-03-27
성문전자,014910,1990-03-24
HLB글로벌,003580,1990-03-23
일진홀딩스,015860,1990-03-22
대영포장,014160,1990-03-06
영화금속,012280,1990-01-25
신풍제약,019170,1990-01-20
동성제약,002210,1990-01-19
아센디오,012170,1989-12-20
한올바이오파마,009420,1989-12-18
유니켐,011330,1989-12-14
대창,012800,1989-12-05
국보,001140,1989-12-02
일성건설,013360,1989-12-02
까뮤이앤씨,013700,1989-11-30
보락,002760,1989-11-30
선도전기,007610,1989-11-30
씨아이테크,004920,1989-11-30
광동제약,009290,1989-11-17
갤럭시아에스엠,011420,1989-11-14
남성,004270,1989-11-14
KISCO홀딩스,001940,1989-11-13
태영건설,009410,1989-11-13
한국특강,007280,1989-11-13
한솔로지스틱스,009180,1989-11-13
삼양통상,002170,1989-11-10
SK텔레콤,017670,1989-11-07
진양폴리우레탄,010640,1989-09-30
미창석유공업,003650,1989-09-27
삼익THK,004380,1989-09-26
미원상사,002840,1989-09-25
서연,007860,1989-09-09
세우글로벌,013000,1989-09-05
현대모비스,012330,1989-09-05
쎌마테라퓨틱스,015540,1989-09-02
KG케미칼,001390,1989-08-25
대우부품,009320,1989-08-25
현대해상,001450,1989-08-25
현대그린푸드,005440,1989-08-22
한국전력공사,015760,1989-08-10
국도화학,007690,1989-08-05
녹십자,006280,1989-08-01
SIMPAC,009160,1989-07-29
윌비스,008600,1989-07-28
대창단조,015230,1989-07-25
사조산업,007160,1989-07-25
한익스프레스,014130,1989-07-25
사조동아원,008040,1989-06-24
경인전자,009140,1989-06-20
무림P&P,009580,1989-06-20
인디에프,014990,1989-06-20
한솔피엔에스,010420,1989-05-31
디와이,013570,1989-05-30
방림,003610,1989-05-30
큐로,015590,1989-05-27
한솔케미칼,014680,1989-05-20
퍼스텍,010820,1989-05-10
동원산업,006040,1989-03-07
대덕,008060,1989-01-26
한성기업,003680,1989-01-26
이스타코,015020,1988-12-23
태림포장,011280,1988-12-20
아세아제지,002310,1988-12-15
화천기계,010660,1988-12-12
CJ씨푸드,011150,1988-11-26
SHD,001770,1988-11-23
조일알미늄,018470,1988-11-22
에스엘,005850,1988-11-08
영원무역홀딩스,009970,1988-11-07
더존비즈온,012510,1988-10-28
보령,003850,1988-10-24
이건산업,008250,1988-10-21
모나리자,012690,1988-10-14
대구백화점,006370,1988-10-10
우성,006980,1988-10-10
유성기업,002920,1988-10-10
한일철강,002220,1988-10-07
삼익악기,002450,1988-09-30
화성산업,002460,1988-09-29
DN오토모티브,007340,1988-09-24
보해양조,000890,1988-09-23
상상인증권,001290,1988-09-23
혜인,003010,1988-09-20
금강공업,014280,1988-09-10
플레이그램,009810,1988-08-31
율촌화학,008730,1988-08-30
신원,009270,1988-08-24
동방,004140,1988-08-10
한국쉘석유,002960,1988-08-10
부광약품,003000,1988-08-05
풍산홀딩스,005810,1988-07-28
부국증권,001270,1988-07-19
계양전기,012200,1988-07-06
한솔테크닉스,004710,1988-07-06
DB금융투자,016610,1988-06-27
한미사이언스,008930,1988-06-20
삼진제약,005500,1988-06-18
POSCO홀딩스,005490,1988-06-10
범양건영,002410,1988-05-25
파미셀,005690,1988-05-20
동국제강,001230,1988-05-09
대원전선,006340,1988-05-04
이수화학,005950,1988-04-28
삼성증권,016360,1988-03-28
삼영무역,002810,1988-03-28
한양증권,001750,1988-03-04
금호석유화학,011780,1988-01-22
유안타증권,003470,1988-01-21
제일파마홀딩스,002620,1988-01-20
에이엔피,015260,1988-01-18
한창제지,009460,1987-12-23
넥센,005720,1987-12-19
삼성공조,006660,1987-11-28
세방전지,004490,1987-11-28
진원생명과학,011000,1987-11-16
참엔지니어링,009310,1987-11-12
한국프랜지공업,010100,1987-10-02
코스모신소재,005070,1987-09-28
덕성,004830,1987-09-25
신영증권,001720,1987-08-24
유진증권,001200,1987-08-24
유화증권,003460,1987-08-24
한신기계공업,011700,1987-07-24
코스모화학,005420,1987-07-23
가온전선,000500,1987-06-08
S-Oil,010950,1987-05-27
한화에어로스페이스,012450,1987-05-27
삼화전자공업,011230,1987-05-25
현대제철,004020,1987-05-23
써니전자,004770,1987-04-22
현대비앤지스틸,004560,1987-03-24
사조오양,006090,1986-12-24
한화투자증권,003530,1986-11-25
삼화전기,009470,1986-11-24
SK증권,001510,1986-09-20
평화홀딩스,010770,1986-03-31
일신석재,007110,1986-03-04
KG스틸,016380,1986-02-03
아이에스동서,010780,1986-01-27
SH에너지화학,002360,1985-12-23
대한화섬,003830,1985-12-23
코리아써키트,007810,1985-09-09
신세계,004170,1985-08-19
OCI,010060,1985-07-09
삼일제약,000520,1985-05-29
인스코비,006490,1985-01-17
일성신약,003120,1985-01-14
현대건설,000720,1984-12-22
TCC스틸,002710,1984-12-21
에이프로젠바이오로직스,003060,1984-10-19
F&F 홀딩스,007700,1984-10-04
아남전자,008700,1984-08-11
현대미포조선,010620,1983-12-20
GS건설,006360,1981-08-03
삼아알미늄,006110,1980-12-05
한국전자홀딩스,006200,1979-11-30
삼성SDI,006400,1979-02-27
삼성전기,009150,1979-02-27
동부건설,005960,1978-10-30
케이씨티시,009070,1978-09-29
코오롱글로벌,003070,1978-09-15
빙그레,005180,1978-08-31
녹십자홀딩스,005250,1978-08-28
조선내화,000480,1978-06-30
현대약품,004310,1978-06-28
남양유업,003920,1978-06-24
남선알미늄,008350,1978-05-22
한국화장품제조,003350,1978-02-06
DL건설,001880,1977-12-22
현대코퍼레이션,011760,1977-12-01
LS,006260,1977-06-30
SK네트웍스,001740,1977-06-30
경농,002100,1977-06-30
티웨이홀딩스,004870,1977-06-30
동방아그로,007590,1977-06-29
송원산업,004430,1977-06-25
진흥기업,002780,1977-06-25
한국석유공업,004090,1977-06-25
천일고속,000650,1977-06-23
대원강업,000430,1977-06-22
만호제강,001080,1977-06-18
조광피혁,004700,1977-05-27
세방,004360,1977-05-19
동양철관,008970,1977-03-05
대유에이텍,002880,1977-02-18
남광토건,001260,1976-12-28
삼영전자공업,005680,1976-12-28
신영와코루,005800,1976-12-28
오리엔트바이오,002630,1976-12-28
조비,001550,1976-12-28
한국공항,005430,1976-12-28
조광페인트,004910,1976-12-27
삼천리,004690,1976-12-23
성보화학,003080,1976-12-23
조흥,002600,1976-12-23
금양,001570,1976-12-17
사조대림,003960,1976-09-16
비비안,002070,1976-07-13
SNT중공업,003570,1976-07-08
한신공영,004960,1976-07-07
농심,004370,1976-06-30
삼영화학공업,003720,1976-06-30
성신양회,004980,1976-06-30
신라교역,004970,1976-06-30
신풍,002870,1976-06-30
종근당홀딩스,001630,1976-06-30
크라운해태홀딩스,005740,1976-06-30
한독,002390,1976-06-30
SG글로벌,001380,1976-06-29
SK디스커버리,006120,1976-06-29
샘표,007540,1976-06-29
흥아해운,003280,1976-06-29
GS글로벌,001250,1976-06-26
금호건설,002990,1976-06-26
삼부토건,001470,1976-06-26
삼화콘덴서공업,001820,1976-06-26
페이퍼코리아,001020,1976-06-26
동양,001520,1976-06-25
한화,000880,1976-06-24
JW중외제약,001060,1976-06-14
영풍,000670,1976-06-12
백광산업,001340,1976-06-10
성창기업지주,000180,1976-06-02
한창,005110,1976-06-01
삼화왕관,004450,1976-05-28
KR모터스,000040,1976-05-25
고려제강,002240,1976-05-25
태양금속공업,004100,1976-05-25
SUN&L,002820,1976-05-22
DRB동일,004840,1976-05-21
넥센타이어,002350,1976-05-19
SG세계물산,004060,1976-04-19
롯데정밀화학,004000,1976-04-15
동화약품,000020,1976-03-24
DL,000210,1976-02-02
LX인터내셔널,001120,1976-01-30
국제약품,002720,1975-12-27
태광산업,003240,1975-12-27
부산주공,005030,1975-12-26
한일현대시멘트,006390,1975-12-26
CS홀딩스,000590,1975-12-22
신성통상,005390,1975-12-22
DB하이텍,000990,1975-12-12
대림통상,006570,1975-11-20
유유제약,000220,1975-11-18
강남제비스코,000860,1975-11-12
대신증권,003540,1975-10-01
NH투자증권,005940,1975-09-30
미래에셋증권,006800,1975-09-30
신일전자,002700,1975-09-30
삼성제약,001360,1975-07-04
삼성화재해상보험,000810,1975-06-30
삼양식품,003230,1975-06-30
한화손해보험,000370,1975-06-30
NI스틸,008260,1975-06-28
일동홀딩스,000230,1975-06-28
대동,000490,1975-06-27
오리온홀딩스,001800,1975-06-27
깨끗한나라,004540,1975-06-25
태원물산,001420,1975-06-24
코오롱,002020,1975-06-23
삼성전자,005930,1975-06-11
대유플러스,000300,1975-06-09
BYC,001460,1975-06-02
쌍용자동차,003620,1975-05-29
쌍용씨앤이,003410,1975-05-03
SPC삼립,005610,1975-05-02
흥국화재,000540,1974-12-05
우리종금,010050,1974-09-11
일양약품,007570,1974-08-28
한진,002320,1974-08-12
한국수출포장공업,002200,1974-06-28
현대자동차,005380,1974-06-28
모나미,005360,1974-06-26
한화솔루션,009830,1974-06-19
아세아,002030,1974-06-03
카프로,006380,1974-05-28
롯데지주,004990,1974-02-16
대한방직,001070,1973-12-28
서울식품공업,004410,1973-12-28
아이에이치큐,003560,1973-12-18
LS네트웍스,000680,1973-11-15
금호전기,001210,1973-11-15
하이트진로홀딩스,000140,1973-09-19
노루홀딩스,000320,1973-08-10
기아,000270,1973-07-21
효성,004800,1973-06-30
CJ,001040,1973-06-29
두산,000150,1973-06-29
휴스틸,005010,1973-06-29
DB손해보험,005830,1973-06-28
TYM,002900,1973-06-26
대웅,003090,1973-06-26
진양산업,003780,1973-06-26
영진약품,003520,1973-06-25
케이씨씨,002380,1973-06-25
롯데칠성음료,005300,1973-06-21
일신방직,003200,1973-05-23
아모레퍼시픽그룹,002790,1973-04-30
제주은행,006220,1972-12-28
한솔홀딩스,004150,1972-05-17
벽산,007210,1972-01-04
롯데손해보험,000400,1971-04-16
대한제분,001130,1970-11-25
대상,001680,1970-04-01
LG,003550,1970-02-13
동아쏘시오홀딩스,000640,1970-02-10
코리안리,003690,1969-12-22
한국주철관공업,000970,1969-12-12
한일홀딩스,003300,1969-11-20
엔피씨,004250,1969-09-08
세아제강지주,003030,1969-05-13
대한전선,001440,1968-12-27
대한제당,001790,1968-12-27
삼양홀딩스,000070,1968-12-27
세기상사,002420,1968-12-27
한국앤컴퍼니,000240,1968-12-27
전방,000950,1968-10-21
대한항공,003490,1966-03-18
디아이동일,001530,1964-01-04
유한양행,000100,1962-11-01
CJ대한통운,000120,1956-07-02
메리츠화재,000060,1956-07-02
경방,000050,1956-03-03
유수홀딩스,000700,1956-03-03
한진중공업홀딩스,003480,1956-03-03
