회사명,종목코드,상장일
와이더플래닛,321820,2021-02-03
핑거,163730,2021-01-29
모비릭스,348030,2021-01-28
씨앤투스,352700,2021-01-28
선진뷰티사이언스,086710,2021-01-27
엔비티,236810,2021-01-21
파이버프로,368770,2021-01-21
블리츠웨이,369370,2020-12-23
석경에이티,357550,2020-12-23
지놈앤컴퍼니,314130,2020-12-23
프리시젼바이오,335810,2020-12-22
알체라,347860,2020-12-21
하이딥,365590,2020-12-21
에프앤가이드,064850,2020-12-17
에이치엠씨제5호스팩,353060,2020-12-16
티엘비,356860,2020-12-14
인바이오,352940,2020-12-11
엔젠바이오,354200,2020-12-10
DB금융스팩8호,367340,2020-12-09
퀀타매트릭스,317690,2020-12-09
클리노믹스,352770,2020-12-04
포인트모바일,318020,2020-12-03
앱코,129890,2020-12-02
엔에프씨,265740,2020-12-02
제일전기공업,199820,2020-11-26
하나기술,299030,2020-11-25
티앤엘,340570,2020-11-20
고바이오랩,348150,2020-11-18
네패스아크,330860,2020-11-17
소룩스,290690,2020-11-06
위드텍,348350,2020-10-30
센코,347000,2020-10-29
바이브컴퍼니,301300,2020-10-28
미코바이오메드,214610,2020-10-22
피플바이오,304840,2020-10-19
넥스틴,348210,2020-10-08
원방테크,053080,2020-09-24
비나텍,126340,2020-09-23
씨엔알리서치,359090,2020-09-23
박셀바이오,323990,2020-09-22
비비씨,318410,2020-09-21
교보10호기업인수목적,355150,2020-09-18
핌스,347770,2020-09-18
압타머사이언스,291650,2020-09-16
이오플로우,294090,2020-09-14
카카오게임즈,293490,2020-09-10
피엔케이피부임상연구센타,347740,2020-09-09
미래에셋대우스팩 5호,353490,2020-08-28
아이디피,332370,2020-08-24
셀레믹스,331920,2020-08-21
미투젠,950190,2020-08-18
브랜드엑스코퍼레이션,337930,2020-08-13
영림원소프트랩,060850,2020-08-12
한국파마,032300,2020-08-10
솔브레인,357780,2020-08-06
이루다,164060,2020-08-06
와이팜,332570,2020-07-31
에코앤드림,101360,2020-07-30
에이치엠씨제4호스팩,353070,2020-07-29
엠투아이,347890,2020-07-29
더네이쳐홀딩스,298540,2020-07-27
제놀루션,225220,2020-07-24
솔트룩스,304100,2020-07-23
하나금융16호스팩,343510,2020-07-23
티에스아이,277880,2020-07-22
에이프로,262260,2020-07-16
IBKS제13호스팩,351340,2020-07-15
소마젠,950200,2020-07-13
신도기연,290520,2020-07-06
위더스제약,330350,2020-07-03
엠브레인,169330,2020-07-01
젠큐릭스,229000,2020-06-25
HB솔루션,297890,2020-06-22
에스에이티이엔지,351320,2020-06-22
에스씨엠생명과학,298060,2020-06-17
휴럼,353190,2020-06-17
이지바이오,353810,2020-06-05
드림씨아이에스,223250,2020-05-22
엔피디,198080,2020-03-16
플레이디,237820,2020-03-12
서울바이오시스,092190,2020-03-06
제이앤티씨,204270,2020-03-04
켄코아에어로스페이스,274090,2020-03-03
레몬,294140,2020-02-28
서남,294630,2020-02-20
신영스팩6호,344050,2020-02-12
위세아이텍,065370,2020-02-10
세림B&G,340440,2019-12-27
CJ 바이오사이언스,311690,2019-12-26
피피아이,062970,2019-12-26
RF머트리얼즈,327260,2019-12-24
아이비김영,339950,2019-12-24
브릿지바이오,288330,2019-12-20
다보링크,340360,2019-12-19
메드팩토,235980,2019-12-19
원텍,336570,2019-12-19
신테카바이오,226330,2019-12-17
제이엘케이,322510,2019-12-11
태웅로직스,124560,2019-12-10
윙스풋,335870,2019-12-09
리메드,302550,2019-12-06
비올,335890,2019-12-03
웨이버스,336060,2019-11-28
노터스,278650,2019-11-27
티움바이오,321550,2019-11-22
씨에스베어링,297090,2019-11-21
우양,103840,2019-11-20
코리아에셋투자증권,190650,2019-11-20
에스제이그룹,306040,2019-11-18
제테마,216080,2019-11-14
라파스,214260,2019-11-11
아이티엠반도체,084850,2019-11-07
일승,333430,2019-11-06
미디어젠,279600,2019-11-05
모코엠시스,333050,2019-10-31
티라유텍,322180,2019-10-31
밸로프,331520,2019-10-29
캐리소프트,317530,2019-10-29
케이엔제이,272110,2019-10-25
엔바이오니아,317870,2019-10-24
팜스빌,318010,2019-10-22
라온피플,300120,2019-10-18
아톤,158430,2019-10-17
녹십자웰빙,234690,2019-10-14
누보,332290,2019-10-11
포커스에이치엔에스,331380,2019-10-02
올리패스,244460,2019-09-20
라닉스,317120,2019-09-18
윈텍,320000,2019-09-18
한독크린텍,256150,2019-09-05
네오크레마,311390,2019-08-22
마니커에프앤지,195500,2019-08-20
솔트웨어,328380,2019-08-20
나노브릭,286750,2019-08-19
에스피시스템스,317830,2019-08-14
레이,228670,2019-08-08
그린플러스,186230,2019-08-07
코윈테크,282880,2019-08-05
덕산테코피아,317330,2019-08-02
KBG,318000,2019-08-01
슈프리마아이디,317770,2019-08-01
세경하이테크,148150,2019-07-30
윌링스,313760,2019-07-25
대모,317850,2019-07-24
에이스토리,241840,2019-07-19
플리토,300080,2019-07-17
헥토파이낸셜,234340,2019-07-12
아이스크림에듀,289010,2019-07-11
펌텍코리아,251970,2019-07-04
에이에프더블류,312610,2019-07-01
태성,323280,2019-06-24
엠에프엠코리아,323230,2019-06-19
압타바이오,293780,2019-06-12
까스텔바작,308100,2019-06-10
마이크로디지탈,305090,2019-06-05
코퍼스코리아,322780,2019-05-31
프로이천,321260,2019-05-31
수젠텍,253840,2019-05-28
컴퍼니케이,307930,2019-05-23
피에스케이,319660,2019-05-10
현대무벡스,319400,2019-05-08
TS트릴리온,317240,2019-04-29
아모그린텍,125210,2019-03-29
지노믹트리,228760,2019-03-27
이지케어텍,099750,2019-03-22
미래에셋벤처투자,100790,2019-03-15
에코프로비엠,247540,2019-03-05
셀리드,299660,2019-02-20
천보,278280,2019-02-11
이노테라피,246960,2019-02-01
노랑풍선,104620,2019-01-30
웹케시,053580,2019-01-25
비피도,238200,2018-12-26
유틸렉스,263050,2018-12-24
디케이티,290550,2018-12-21
아이엘사이언스,307180,2018-12-21
애니플러스,310200,2018-12-21
디와이씨,310870,2018-12-20
오하임아이엔티,309930,2018-12-20
위지윅스튜디오,299900,2018-12-20
국전약품,307750,2018-12-19
에이비엘바이오,298380,2018-12-19
머큐리,100590,2018-12-14
전진바이오팜,110020,2018-12-14
뉴트리,270870,2018-12-13
비투엔,307870,2018-12-12
이노메트리,302430,2018-12-12
대유에이피,290120,2018-12-07
에코캡,128540,2018-12-05
원바이오젠,307280,2018-12-05
베스파,299910,2018-12-03
윙입푸드,900340,2018-11-30
남화산업,111710,2018-11-29
엠아이텍,179290,2018-11-29
티로보틱스,117730,2018-11-29
네오펙트,290660,2018-11-28
티앤알바이오팹,246710,2018-11-28
디알젬,263690,2018-11-22
싸이토젠,217330,2018-11-22
아주IB투자,027360,2018-11-21
파멥신,208340,2018-11-21
디케이앤디,263020,2018-11-20
에이치앤비디자인,227100,2018-11-15
노바렉스,194700,2018-11-14
셀리버리,268600,2018-11-09
대보마그네틱,290670,2018-11-06
노바텍,285490,2018-11-02
엘앤씨바이오,290650,2018-11-01
네온테크,306620,2018-10-31
로보티즈,108490,2018-10-26
옵티팜,153710,2018-10-26
에스퓨얼셀,288620,2018-10-15
나우IB,293580,2018-10-04
푸드나무,290720,2018-10-04
크리스에프앤씨,110790,2018-10-01
더블유에스아이,299170,2018-09-21
지티지웰니스,219750,2018-09-21
명성티엔에스,257370,2018-09-13
엔피,291230,2018-09-13
디지캡,197140,2018-09-07
지니틱스,303030,2018-08-30
액트로,290740,2018-08-28
오파스넷,173130,2018-08-24
에이피티씨,089970,2018-08-23
바이오솔루션,086820,2018-08-20
대유,290380,2018-08-10
디아이티,110990,2018-08-07
에스에스알,275630,2018-08-06
휴네시온,290270,2018-08-02
한국유니온제약,080720,2018-07-26
그리티,204020,2018-07-23
알로이스,297570,2018-07-20
올릭스,226950,2018-07-18
아이큐어,175250,2018-07-12
SV인베스트먼트,289080,2018-07-06
EDGC,245620,2018-06-26
카이노스메드,284620,2018-06-08
파워넷,037030,2018-06-07
카나리아바이오,016790,2018-06-01
세종메디칼,258830,2018-05-29
제노레이,122310,2018-05-28
제이시스메디칼,287410,2018-05-08
JTC,950170,2018-04-06
네오셈,253590,2018-04-04
케어랩스,263700,2018-03-28
린드먼아시아,277070,2018-03-14
오스테오닉,226400,2018-02-22
엔지켐생명과학,183490,2018-02-21
동구바이오제약,006620,2018-02-13
아시아종묘,154030,2018-02-12
알리코제약,260660,2018-02-12
카페24,042000,2018-02-08
링크제니시스,219420,2018-02-05
배럴,267790,2018-02-01
SG,255220,2018-01-26
씨앤지하이테크,264660,2018-01-25
시스웍,269620,2017-12-26
디바이스이엔지,187870,2017-12-20
레이크머티리얼즈,281740,2017-12-12
씨티케이,260930,2017-12-07
메카로,241770,2017-12-06
에스트래픽,234300,2017-12-05
체리부로,066360,2017-12-04
대원,007680,2017-12-01
비즈니스온,138580,2017-11-30
스튜디오드래곤,253450,2017-11-24
비디아이,148140,2017-11-09
코오롱티슈진,950160,2017-11-06
영화테크,265560,2017-10-26
폴라리스세원,234100,2017-10-20
상신전자,263810,2017-10-16
야스,255440,2017-09-29
인산가,277410,2017-09-29
휴엠앤씨,263920,2017-09-28
신흥에스이씨,243840,2017-09-27
유티아이,179900,2017-09-27
선익시스템,171090,2017-09-20
엠플러스,259630,2017-09-20
앱클론,174900,2017-09-18
어스앤에어로스페이스,263540,2017-09-15
펄어비스,263750,2017-09-14
케이피에스,256940,2017-09-06
덕우전자,263600,2017-08-28
지엔원에너지,270520,2017-08-22
케일럼,258610,2017-08-22
알에스오토메이션,140670,2017-08-11
컬러레이,900310,2017-08-10
와이즈버즈,273060,2017-08-07
모트렉스,118990,2017-08-04
데이타솔루션,263800,2017-08-03
지니언스,263860,2017-08-02
디앤씨미디어,263720,2017-08-01
셀트리온헬스케어,091990,2017-07-28
이즈미디어,181340,2017-07-26
힘스,238490,2017-07-20
브이원텍,251630,2017-07-13
아우딘퓨쳐스,227610,2017-07-12
이녹스첨단소재,272290,2017-07-10
하림지주,003380,2017-06-30
덴티스,261200,2017-06-26
나인테크,267320,2017-06-22
보라티알,250000,2017-06-08
매일유업,267980,2017-06-05
삼양옵틱스,225190,2017-06-02
이랜시스,264850,2017-06-01
필옵틱스,161580,2017-06-01
포인트엔지니어링,256630,2017-05-02
하나머티리얼즈,166090,2017-04-28
소프트캠프,258790,2017-04-27
와이엠티,251370,2017-04-27
AP시스템,265520,2017-04-07
유에스티,263770,2017-04-06
이엘피,063760,2017-04-06
유비쿼스,264450,2017-03-31
서진시스템,178320,2017-03-27
코미코,183300,2017-03-23
아스타,246720,2017-03-20
에스디생명공학,217480,2017-03-02
신신제약,002800,2017-02-28
에프엔에스테크,083500,2017-02-27
모바일어플라이언스,087260,2017-02-24
피씨엘,241820,2017-02-23
서플러스글로벌,140070,2017-01-25
유바이오로직스,206650,2017-01-24
한국비엔씨,256840,2016-12-28
DSC인베스트먼트,241520,2016-12-19
TS인베스트먼트,246690,2016-12-15
마이크로프랜드,147760,2016-12-12
애니젠,196300,2016-12-07
유니온커뮤니티,203450,2016-12-07
신라젠,215600,2016-12-06
자비스,254120,2016-12-02
오션브릿지,241790,2016-12-01
퓨쳐켐,220100,2016-12-01
뉴파워프라즈마,144960,2016-11-30
엘앤케이바이오,156100,2016-11-30
핸디소프트,220180,2016-11-24
클리오,237880,2016-11-09
오가닉티코스메틱,900300,2016-11-04
얼라인드,238120,2016-11-03
세화피앤씨,252500,2016-11-02
인크로스,216050,2016-10-31
에이치엘사이언스,239610,2016-10-28
코스메카코리아,241710,2016-10-28
GRT,900290,2016-10-25
골든센츄리,900280,2016-10-19
인텔리안테크,189300,2016-10-18
에이치시티,072990,2016-10-17
잉글우드랩,950140,2016-10-14
앤디포스,238090,2016-10-12
수산아이앤티,050960,2016-10-11
미투온,201490,2016-10-10
예선테크,250930,2016-09-29
유니테크노,241690,2016-09-20
모비스,250060,2016-09-08
나무기술,242040,2016-09-07
자이글,234920,2016-09-06
헝셩그룹,900270,2016-08-18
에코마케팅,230360,2016-08-08
엔지스테크널러지,208860,2016-07-28
우리손에프앤지,073560,2016-07-27
아이윈플러스,123010,2016-07-20
장원테크,174880,2016-07-15
위니아,071460,2016-07-14
비엘,142760,2016-07-07
피앤씨테크,237750,2016-07-04
로스웰,900260,2016-06-30
에스티팜,237690,2016-06-23
지씨셀,144510,2016-06-23
알엔투테크놀로지,148250,2016-06-22
줌인터넷,239340,2016-06-09
휴온스,243070,2016-06-03
원익IPS,240810,2016-05-02
레이언스,228850,2016-04-11
동양파일,228340,2016-04-06
팬젠,222110,2016-03-11
AP위성,211270,2016-03-04
에이트원,230980,2016-03-02
큐리언트,115180,2016-02-29
안트로젠,065660,2016-02-15
슈프리마,236200,2016-02-05
유니트론텍,142210,2016-02-02
크리스탈신소재,900250,2016-01-28
더코디,224060,2015-12-29
에스와이,109610,2015-12-29
와이아이케이,232140,2015-12-24
육일씨엔에쓰,191410,2015-12-24
커머스마이너,223310,2015-12-24
휴젤,145020,2015-12-24
한국맥널티,222980,2015-12-23
덱스터,206560,2015-12-22
아진산업,013310,2015-12-22
HLB제약,047920,2015-12-21
강스템바이오텍,217730,2015-12-21
메가엠디,133750,2015-12-18
보광산업,225530,2015-12-17
파크시스템스,140860,2015-12-17
에치에프알,230240,2015-12-16
예스티,122640,2015-12-16
코스맥스엔비티,222040,2015-12-16
멕아이씨에스,058110,2015-12-14
원익피앤이,217820,2015-12-07
하이즈항공,221840,2015-11-25
DXVX,180400,2015-11-20
케이디켐,221980,2015-11-19
네오오토,212560,2015-11-18
엔투텍,227950,2015-11-18
케어젠,214370,2015-11-17
아이진,185490,2015-11-16
나무가,190510,2015-11-12
이노시스,056090,2015-11-12
본느,226340,2015-11-05
연우,115960,2015-11-02
엔케이맥스,182400,2015-10-23
KH 건설,226360,2015-10-22
엑시콘,092870,2015-10-22
뉴지랩파마,214870,2015-10-13
케이엠제약,225430,2015-10-08
한송네오텍,226440,2015-10-06
패션플랫폼,225590,2015-10-05
넥슨게임즈,225570,2015-09-25
제너셈,217190,2015-09-25
타이거일렉,219130,2015-09-25
인포마크,175140,2015-09-23
씨아이에스,222080,2015-09-02
에이텍티앤,224110,2015-08-25
웹스,196700,2015-08-24
파인텍,131760,2015-08-17
세토피아,222810,2015-08-13
심텍,222800,2015-08-07
흥국에프엔비,189980,2015-08-07
쎄노텍,222420,2015-08-06
칩스앤미디어,094360,2015-08-05
아시아경제,127710,2015-07-31
아이쓰리시스템,214430,2015-07-30
로지시스,067730,2015-07-29
켐트로스,220260,2015-07-27
파마리서치,214450,2015-07-24
디와이디,219550,2015-07-22
펩트론,087010,2015-07-22
RFHIC,218410,2015-06-30
동운아나텍,094170,2015-06-30
유테크,178780,2015-06-30
헥토이노베이션,214180,2015-06-30
이큐셀,160600,2015-06-26
코아스템켐온,166480,2015-06-26
에스엘바이오닉스,214310,2015-06-25
베셀,177350,2015-06-19
넵튠,217270,2015-06-18
미래생명자원,218150,2015-06-18
싸이맥스,160980,2015-06-17
러셀,217500,2015-06-16
픽셀플러스,087600,2015-06-12
디딤이앤에프,217620,2015-06-10
제노포커스,187420,2015-05-29
우정바이오,215380,2015-05-18
토박스코리아,215480,2015-05-13
이노인스트루먼트,215790,2015-05-08
우리산업,215360,2015-05-06
메가스터디교육,215200,2015-05-04
휴센텍,215090,2015-04-28
로보로보,215100,2015-04-22
디알텍,214680,2015-04-20
에이비프로바이오,195990,2015-04-13
골프존,215000,2015-04-03
클래시스,214150,2015-04-03
FSN,214270,2015-03-25
포시에스,189690,2015-02-11
덕산네오룩스,213420,2015-02-06
국일신동,060480,2014-12-29
바디텍메드,206640,2014-12-29
스튜디오산타클로스,204630,2014-12-29
썸에이지,208640,2014-12-29
와이제이엠게임즈,193250,2014-12-29
에이팩트,200470,2014-12-26
휴메딕스,200670,2014-12-26
바이오로그디바이스,208710,2014-12-24
서전기전,189860,2014-12-24
아스트,067390,2014-12-24
오킨스전자,080580,2014-12-24
지란지교시큐리티,208350,2014-12-24
NEW,160550,2014-12-23
아이티센,124500,2014-12-23
녹십자엠에스,142280,2014-12-17
디티앤씨,187220,2014-12-17
셀바스헬스케어,208370,2014-12-17
정다운,208140,2014-12-17
하이로닉,149980,2014-12-17
랩지노믹스,084650,2014-12-16
에이디테크놀로지,200710,2014-12-16
비씨월드제약,200780,2014-12-15
미스터블루,207760,2014-12-12
알테오젠,196170,2014-12-12
베노홀딩스,206400,2014-12-10
대창스틸,140520,2014-12-05
에프엔씨엔터,173940,2014-12-04
휴마시스,205470,2014-12-01
텔콘RF제약,200230,2014-11-24
지엘팜텍,204840,2014-11-20
글로벌텍스프리,204620,2014-11-19
디에이테크놀로지,196490,2014-11-19
액션스퀘어,205500,2014-11-12
엑셈,205100,2014-11-07
테고사이언스,191420,2014-11-06
슈피겐코리아,192440,2014-11-05
영우디에스피,143540,2014-10-29
드림시큐리티,203650,2014-10-13
메디아나,041920,2014-10-07
데브시스터즈,194480,2014-10-06
프로스테믹스,203690,2014-09-30
휴림네트웍스,192410,2014-08-14
고려시멘트,198440,2014-08-13
신화콘텍,187270,2014-08-08
파버나인,177830,2014-08-04
덕신하우징,090410,2014-08-01
창해에탄올,004650,2014-07-30
윈하이텍,192390,2014-07-25
아진엑스텍,059120,2014-07-24
콜마비앤에이치,200130,2014-07-23
트루윈,105550,2014-07-11
코아시아옵틱스,196450,2014-06-02
캐스텍코리아,071850,2014-05-27
나노,187790,2014-05-08
케이사인,192250,2014-04-28
오이솔루션,138080,2014-02-27
한국정보인증,053300,2014-02-04
솔루에타,154040,2013-12-27
현대이지웰,090850,2013-12-27
SGA솔루션즈,184230,2013-12-20
기가레인,049080,2013-12-19
인트로메딕,150840,2013-12-19
알티캐스트,085810,2013-12-06
현대공업,170030,2013-12-04
엔브이에이치코리아,067570,2013-12-03
탑코미디어,134580,2013-11-26
큐브엔터,182360,2013-11-21
라이온켐텍,171120,2013-11-19
램테크놀러지,171010,2013-11-18
THE MIDONG,161570,2013-11-13
협진,138360,2013-11-08
해성옵틱스,076610,2013-11-06
내츄럴엔도텍,168330,2013-10-31
두산테스나,131970,2013-10-22
파수,150900,2013-10-18
엘티씨,170920,2013-10-08
지엔씨에너지,119850,2013-10-02
아미코젠,092040,2013-09-12
GH신소재,130500,2013-08-02
파이오링크,170790,2013-08-01
KG ETS,151860,2013-07-24
나스미디어,089600,2013-07-17
엑세스바이오,950130,2013-05-30
레고켐바이오,141080,2013-05-10
윈팩,097800,2013-03-07
코렌텍,104540,2013-03-05
제로투세븐,159580,2013-02-19
한솔아이원스,114810,2013-02-07
우리이앤엘,153490,2013-02-05
아이센스,099190,2013-01-30
디에스앤엘,141020,2013-01-29
스킨앤스킨,159910,2012-12-27
SBI핀테크솔루션즈,950110,2012-12-17
우리로,046970,2012-11-27
디젠스,113810,2012-11-22
와이엠씨,155650,2012-11-15
아바텍,149950,2012-11-06
코이즈,121850,2012-09-27
SBW생명과학,151910,2012-08-02
네이블커뮤니케이션즈,153460,2012-07-19
노블엠앤비,106520,2012-07-13
피엔티,137400,2012-07-06
비아트론,141000,2012-05-04
빛샘전자,072950,2012-03-21
사람인에이치알,143240,2012-02-21
제룡산업,147830,2012-02-13
남화토건,091590,2012-01-31
메지온,140410,2012-01-20
원익머트리얼즈,104830,2011-12-28
디엔에이링크,127120,2011-12-26
나이스디앤비,130580,2011-12-22
시큐브,131090,2011-12-21
서암기계공업,100660,2011-12-19
씨유메디칼,115480,2011-12-15
키네마스터,139670,2011-12-02
비덴트,121800,2011-12-01
신진에스엠,138070,2011-11-28
이엠넷,123570,2011-11-25
와이지엔터테인먼트,122870,2011-11-23
스마트솔루션즈,136510,2011-11-18
에이티세미콘,089530,2011-11-11
테크윙,089030,2011-11-10
씨큐브,101240,2011-11-08
에스엠코어,007820,2011-11-08
씨엔플러스,115530,2011-11-02
로보스타,090360,2011-10-17
대한과학,131220,2011-10-11
아이디스,143160,2011-09-26
제이씨케미칼,137950,2011-08-08
아이씨디,040910,2011-08-05
제닉,123330,2011-08-03
시티랩스,139050,2011-07-29
상아프론테크,089980,2011-07-21
나이벡,138610,2011-07-13
옵티시스,109080,2011-07-12
대양전기공업,108380,2011-07-08
서연탑메탈,019770,2011-06-24
넥스트아이,137940,2011-06-14
초록뱀이앤엠,131100,2011-06-14
